nom;statut;type;adresse;code_postal;ville;email;telephone;site_web;latitude;longitude;saison;danses;familles_de_danses;url_fiche;slug
clichy barre au sol;affiliated;AFFILIATED_STRUCTURE;10 rue poyer;92110;clichy;clichy.barreausol@gmail.com;0147390519;www.clichy-barreausol.com;48.9005374;2.3137054;2026;Barre au Sol | Classique | Contemporain | Jazz | Regards chorégraphiques;Barre au sol classique | Barre au sol contemporaine | Classique | Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/3146-clichy-barre-au-sol;3146-clichy-barre-au-sol
Club A&G danse sportive;affiliated;AFFILIATED_STRUCTURE;rue du lac de melo, la confina 2, chez Gregoire Lyonnet;20167;Ajaccio;clubaetgdansesportive@gmail.com;0616451378;;41.9440341;8.7955929;2026;Breaking | Danse Show | Danse en solo Latine | Danses Solo | Dix Danses | Hip Hop | House | Latines | Locking | Poping | Show Dance Latine | Societe | Solo Team Lat / Std | Standards;Breaking | Disco | Danses latines | Danses standards | Danses hip-hop | Danses de salon;https://www.ffdanse.fr/structures/3346-club-a-g-danse-sportive;3346-club-a-g-danse-sportive
CLUB African Urban Dance;affiliated;AFFILIATED_STRUCTURE;46 Ter Rue Sainte Catherine;45000;Orléans;contact.clubaud@gmail.com;0662001136;;;;2026;Africaine;Danses ethniques;https://www.ffdanse.fr/structures/3661-club-african-urban-dance;3661-club-african-urban-dance
CLUB ANIMATION DANSE COUNTRY;affiliated;AFFILIATED_STRUCTURE;8 CHEMIN DES FLEURS;01210;FERNEY-VOLTAIRE;asso.cadc0925@gmail.com;0781098380;;46.2602109;6.1166349;2026;Country And Line;Country & line;https://www.ffdanse.fr/structures/6156-club-animation-danse-country;6156-club-animation-danse-country
Club Artistique et d'Animations C2A;recently_disaffiliated;UNAFFILIATED_STRUCTURE;3 IMPASSE DE NEMOURS;63310;RANDAN;schaneboux@aol.com;0659578746;;48.267043;2.692611;;;;https://www.ffdanse.fr/structures/4672-club-artistique-et-d-animations-c2a;4672-club-artistique-et-d-animations-c2a
Club Athlétique de la Presqu’île Hillion – St René;affiliated;AFFILIATED_STRUCTURE;2 Rue de la Tour Du Fa, Mairie;22120;Hillion;danse.hillion@gmail.com;0683181243;;48.5133982;-2.667625;2026;Classique | Eveil à la Danse | Hip Hop | Jazz | Latines | OLD : Salsa, Bachata, Kizomba | Street Dance;Classique | Danses hip-hop | Modern jazz | Jazz | Danses latines | Salsa | Bachata;https://www.ffdanse.fr/structures/4164-club-athletique-de-la-presqu-ile-hillion-st-rene;4164-club-athletique-de-la-presqu-ile-hillion-st-rene
Club Athlétique Sainte Hèlène;affiliated;AFFILIATED_STRUCTURE;la mairie;33480;SAINTE HELENE;cash.danse.ste.helene@gmail.com;0556585822;;44.9646286;-0.8847711;2026;Claquettes | Classique | Hip Hop | Jazz;Claquettes | Classique | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/662-club-athletique-sainte-helene;662-club-athletique-sainte-helene
Club Attitude;affiliated;AFFILIATED_STRUCTURE;30 impasse du buis, LOTISSMENT LES ACACIAS;13140;MIRAMAS;sandrapitouras@gmail.com;0610460024;;43.5805933;5.0130025;2026;Autres Danses | Classique | Jazz;Classique | Modern jazz | Jazz;https://www.ffdanse.fr/structures/263-club-attitude;263-club-attitude
CLUB BAGATELLE : école de danse et de gymnastique;affiliated;AFFILIATED_STRUCTURE;Boulevard du General Koenig, 77;92200;Neuilly-sur-Seine;clubbagatelle@gmail.com;0648058012;clubbagatelle.com;48.8809907;2.2518557;2026;Barre au Sol | Classique | Danse en solo Latine | Danse en solo Latine NON | Danse en solo Standard | Danse en solo Standard NON | Dix Danses | Latines | Pole Dance | Pole Sport | Show Dance Latine | Show Dance Standard | Societe | Solo Team Lat / Std | Standards;Barre au sol classique | Barre au sol contemporaine | Classique | Danses latines | Danses standards | Pole dance | Pole sport | Danses de salon;https://www.ffdanse.fr/structures/5215-club-bagatelle-ecole-de-danse-et-de-gymnastique;5215-club-bagatelle-ecole-de-danse-et-de-gymnastique
Club Bergeracois de Danse de Salon;recently_disaffiliated;UNAFFILIATED_STRUCTURE;mairie de Prigonrieux;24130;prigonrieux;danse.prigonrieux@orange.fr;0615367883;;44.8552657;0.4014402;;;;https://www.ffdanse.fr/structures/4064-club-bergeracois-de-danse-de-salon;4064-club-bergeracois-de-danse-de-salon
Club Blacklist;affiliated;AFFILIATED_STRUCTURE;12 boulevarde des Flandres appartement 64;59760;GRANDE-SYNTHE;booking.blacklist@gmail.com;0612202094;www.blacklistproduction.fr;51.0183958;2.3086316;2026;Breaking | Hip Hop | House | Krump | Locking | New Style | Poping | Ragga | Street Dance;Breaking | Danses hip-hop;https://www.ffdanse.fr/structures/6326-club-blacklist;6326-club-blacklist
Club Bordelais de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;33, rue Adolphe Huc;33400;TALENCE;talence.cbds@gmail.com;0673827275;;44.8213521;-0.5859161;2026;Bachata | Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Salsa | Societe | Solo Team Lat / Std | Standards;Bachata | Danses latines | Danses standards | Salsa | Danses de salon;https://www.ffdanse.fr/structures/725-club-bordelais-de-danse-sportive;725-club-bordelais-de-danse-sportive
Club country texas two-step;affiliated;AFFILIATED_STRUCTURE;complexe sportif route de Meurchin;62220;Carvin;country.carvin@gmail.com;0695389285;;50.4952786;2.9508303;2026;Country And Line;Country & line;https://www.ffdanse.fr/structures/1222-club-country-texas-two-step;1222-club-country-texas-two-step
Club Dacquois de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;46, Boulevard Claude Lorrin;40100;DAX;lav.gwen@gmail.com;0558901087;;43.7053103;-1.0455016;2026;Dix Danses | Hip Hop | Jazz | Latines | Standards;Danses latines | Danses standards | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/891-club-dacquois-de-danse-sportive;891-club-dacquois-de-danse-sportive
CLUB DANSE DE L'EST;affiliated;AFFILIATED_STRUCTURE;167 rue de la cressonnière;97440;Saint Andre;danourry@gmail.com;0692051664;;-20.9682003;55.6584063;2026;Country And Line | Country Danse en ligne - DL;Country & line;https://www.ffdanse.fr/structures/4406-club-danse-de-l-est;4406-club-danse-de-l-est
Club Danse Passion de Muret;affiliated;AFFILIATED_STRUCTURE;40 Rue de Marclan;31600;MURET;laurent.francon@ecole-danse-francon.com;0534465843;;43.4812603;1.3328358;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/612-club-danse-passion-de-muret;612-club-danse-passion-de-muret
Club de Danse  de Voiron;affiliated;AFFILIATED_STRUCTURE;40 route des Gorges;38500;COUBLEVIE;contact@clubdedanse.net;0673842761;https://www.clubdedanse.net;45.366953;5.6215971;2026;Bachata | Danses Solo | Dix Danses | Latines | Lindy Hop | Rock | Salsa | Societe | Standards | Rock et DA;Bachata | Danses latines | Danses standards | Lindy hop | Rock'n'roll | Salsa | Danses de salon | Rock sauté;https://www.ffdanse.fr/structures/849-club-de-danse-de-voiron;849-club-de-danse-de-voiron
Club de Danse A.S. Evry;affiliated;AFFILIATED_STRUCTURE;206 rue Pierre et Marie Curie, Maison des Sports;91000;EVRY;asedanse@free.fr;0619737541;http://asedanse.free.fr/;48.6337193;2.4332521;2026;Bachata | Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Rock | Rock'n'Roll | Societe | Standards | Kizomba;Bachata | Danses latines | Danses standards | Rock'n'roll | Danses de salon | Kizomba;https://www.ffdanse.fr/structures/1863-club-de-danse-a-s-evry;1863-club-de-danse-a-s-evry
Club de Danse Bost;affiliated;AFFILIATED_STRUCTURE;40 avenue de Valensolles;26000;VALENCE;cdb.valence@free.fr;0475811449;www.dansebost.com;44.916829;4.8807778;2026;Bachata | Barre au Sol | Bollywood | Boogie Formation | Boogie Juniors | Boogie Main Class | Boogie Rising Star | Boogie Seniors | Boogie Woogie | Boogie Woogie Fédéral | Cabaret | Classique | Contemporain | Danse Show | Danse en solo Latine | Danse en solo Standard | Danses Solo | Dix Danses | Eveil à la Danse | Formation Rock Girls | Formation Rock Juniors | Formation Rock Ladies | Formation Rock Main Class | Formation Rock Main Class Quattro | Indienne | Jazz | Latines | Rock | Rock Acrobatique | Rock Acrobatique Fédéral | Rock Artistique Fédéral | Rock Children | Rock Couple Dance Show | Rock Formation | Rock Juniors | Rock Juveniles | Rock Main Class Contact Style | Rock Main Class Free Style | Rock Saute | Rock et DA | Rock'n Roll Fédéral | Rock'n'Roll | Salsa | Small Formation Rock Ladies | Small formation Rock Girls | Societe | Standards | Street Dance | West Coast Swing;Bachata | Barre au sol classique | Barre au sol contemporaine | Danses ethniques | Boogie-Woogie | Cabaret | Classique | Ateliers de création | Contemporain | Disco | Danses latines | Danses standards | Modern jazz | Jazz | Rock'n'roll | Rock acrobatique | Rock sauté | Salsa | Danses de salon | Danses hip-hop | West Coast Swing;https://www.ffdanse.fr/structures/474-club-de-danse-bost;474-club-de-danse-bost
Club de Danse COGOLINOIS;affiliated;AFFILIATED_STRUCTURE;Cosec Marcel COULONY  45 Rue des Mines;83310;COGOLIN;clubdansecogolin83@gmail.com;0;;0;0;2026;Bachata | Barre au Sol | Classique | Contemporain | Hip Hop | Rock'n'Roll | Salsa | Societe | Zumba;Bachata | Barre au sol classique | Barre au sol contemporaine | Classique | Ateliers de création | Contemporain | Danses hip-hop | Rock'n'roll | Salsa | Danses de salon | Zumba;https://www.ffdanse.fr/structures/1674-club-de-danse-cogolinois;1674-club-de-danse-cogolinois
Club de danse d'Eschau;affiliated;AFFILIATED_STRUCTURE;5 rue de la paix;67114;Eschau;jason.cicard@gmail.com;0675687864;;48.4884151;7.7169476;2026;Bachata | Boogie Juniors | Boogie Main Class | Boogie Seniors | Boogie Woogie | Boogie Woogie Fédéral | Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards;Bachata | Boogie-Woogie | Danses latines | Danses standards;https://www.ffdanse.fr/structures/5258-club-de-danse-d-eschau;5258-club-de-danse-d-eschau
Club de danse de Coublevie;affiliated;AFFILIATED_STRUCTURE;40 route des Gorges;38500;COUBLEVIE;contact@clubdedanse.net;0673842761;www.clubdedanse.net;45.366953;5.6215971;2026;Bachata | Danses Solo | Dix Danses | Latines | Lindy Hop | Rock | Salsa | Societe | Standards | Rock et DA;Bachata | Danses latines | Danses standards | Lindy hop | Rock'n'roll | Salsa | Danses de salon | Rock sauté;https://www.ffdanse.fr/structures/842-club-de-danse-de-coublevie;842-club-de-danse-de-coublevie
Club de Danse de Lamorlaye-Luzarches Coye la Forêt;affiliated;AFFILIATED_STRUCTURE;15 rue Jean Biondi;60260;LAMORLAYE;cdl.salon.danseenligne@gmail.com;0684792708;https://www.clubdedansedelamorlaye.com;49.1525785;2.4375663;2026;Country And Line | Dix Danses | Latines | Rock | Salsa | Societe | Standards;Country & line | Danses latines | Danses standards | Rock'n'roll | Salsa | Danses de salon;https://www.ffdanse.fr/structures/2765-club-de-danse-de-lamorlaye-luzarches-coye-la-foret;2765-club-de-danse-de-lamorlaye-luzarches-coye-la-foret
Club de danse de Lectoure;affiliated;AFFILIATED_STRUCTURE;Rue Jules de Sardac;32700;LECTOURE;ecolededanse-lectoure@hotmail.fr;0683402217;;43.9354727;0.6187523;2026;Classique | Contemporain | Eveil à la Danse | Hip Hop | Jazz | Street Dance | Comedie Musicale;Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz | Comédie musicale;https://www.ffdanse.fr/structures/647-club-de-danse-de-lectoure;647-club-de-danse-de-lectoure
Club de Danse de Porte de Savoie;affiliated;AFFILIATED_STRUCTURE;Salle des fêtes, FRANCIN;73800;PORTE DE SAVOIE;iciondanse@gmail.com;0645859324;;45.4988879;6.0005602;2026;Bachata | Boogie Woogie | Country And Line | Kizomba | Lindy Hop | Rock'n'Roll | Salsa | Societe;Bachata | Boogie-Woogie | Country & line | Kizomba | Lindy hop | Rock'n'roll | Salsa | Danses de salon;https://www.ffdanse.fr/structures/4214-club-de-danse-de-porte-de-savoie;4214-club-de-danse-de-porte-de-savoie
Club de danse de Quierzy;affiliated;AFFILIATED_STRUCTURE;27 rue Henri berthe;02300;QUIERZY;marietteadeline02@gmail.com;0670239885;;49.5666997;3.1404027;2026;Country And Line | Zumba;Country & line | Zumba;https://www.ffdanse.fr/structures/5722-club-de-danse-de-quierzy;5722-club-de-danse-de-quierzy
CLUB DE DANSE DE ROSIERES;affiliated;AFFILIATED_STRUCTURE;36 Bis Rue Maurice Quillet;80170;ROSIERES EN SANTERRE;secretariatdanse@hotmail.fr;0783383528;;49.8092299;2.6977993;2026;Classique | Contemporain | Jazz;Classique | Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/1637-club-de-danse-de-rosieres;1637-club-de-danse-de-rosieres
Club de danse de société de Chambéry;recently_disaffiliated;UNAFFILIATED_STRUCTURE;67, Rue St François de Sales;73000;Chambéry;cl.jourdan73@gmail.com;0479850193;;45.5670248;5.9254073;;;;https://www.ffdanse.fr/structures/1439-club-de-danse-de-societe-de-chambery;1439-club-de-danse-de-societe-de-chambery
Club de danse du Calvados;affiliated;AFFILIATED_STRUCTURE;ZAC LAZZARO  Rue de l'Europe;14460;Colombelles;c.carrel@wanadoo.fr;0678216304;;49.19539;-0.288391;2026;Danse en solo Latine | Danse en solo Standard | Danses Solo | Dix Danses | Latines | Societe | Standards;Danses latines | Danses standards | Danses de salon;https://www.ffdanse.fr/structures/359-club-de-danse-du-calvados;359-club-de-danse-du-calvados
Club de Danse du Soleil;affiliated;AFFILIATED_STRUCTURE;CD2 Camp Major;13400;Aubagne;pn.morin@wanadoo.fr;0494870492;;43.287921;5.526294;2026;Bachata | Danse en solo Latine | Danses Solo | Dix Danses | Jazz | Kizomba | Latines | Salsa | Solo Team Lat / Std | Standards;Bachata | Danses latines | Danses standards | Modern jazz | Jazz | Kizomba | Salsa;https://www.ffdanse.fr/structures/291-club-de-danse-du-soleil;291-club-de-danse-du-soleil
Club de danse loisir et sportif dracenois;recently_disaffiliated;UNAFFILIATED_STRUCTURE;10 place rene Cassin, SMAB joseph collomp;83300;draguignan;fred.provitera@gmail.com;0603063330;https://www.centrededanseprovitera.fr/;43.5377535;6.462783;;;;https://www.ffdanse.fr/structures/5884-club-de-danse-loisir-et-sportif-dracenois;5884-club-de-danse-loisir-et-sportif-dracenois
Club de danse Roiffieux;affiliated;AFFILIATED_STRUCTURE;569 Rte de La Chomotte;07100;ROIFFIEUX;clubdedanse@gmail.com;06 09 26 81 49;www.roiffieux-danse.fr;45.22367;4.649572;2026;Africaine | Afro-contemporaine | Breaking | Cabaret | Classique | Contemporain | Country And Line | Eveil à la Danse | Hip Hop | Jazz | Pilates | Rock | Street Dance | West Coast Swing;Danses ethniques | Afro-jazz | Breaking | Cabaret | Classique | Ateliers de création | Contemporain | Country & line | Danses hip-hop | Modern jazz | Jazz | Rock'n'roll | West Coast Swing;https://www.ffdanse.fr/structures/4608-club-de-danse-roiffieux;4608-club-de-danse-roiffieux
Club de danse Saint Pierrois;affiliated;AFFILIATED_STRUCTURE;Mairie de St Pierre La Palud;69210;SAINT PIERRE LA PALUD;jrosa.danse@gmail.com;0474704027;;45.7886073;4.6131559;2026;Hip Hop | Jazz | Rock Formation | Rock et DA;Danses hip-hop | Modern jazz | Jazz | Rock'n'roll | Rock sauté;https://www.ffdanse.fr/structures/1381-club-de-danse-saint-pierrois;1381-club-de-danse-saint-pierrois
Club de Danse Sportive Danse Party Colmar;affiliated;AFFILIATED_STRUCTURE;9 rue Gay Lussac;68000;COLMAR;gegebrangbour@aol.com;0610443184;;48.1052116;7.3810874;2026;Boogie Woogie | Danse en solo Latine | Danse en solo Standard | Danses Solo | Dix Danses | Latines | Rock et DA | Standards;Boogie-Woogie | Danses latines | Danses standards | Rock sauté;https://www.ffdanse.fr/structures/1356-club-de-danse-sportive-danse-party-colmar;1356-club-de-danse-sportive-danse-party-colmar
Club de Danse Sportive de Caluire;affiliated;AFFILIATED_STRUCTURE;67 b chemin de vassieux;69300;caluire;studioruffino@free.fr;0478230379;;45.7975526;4.8667003;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/1379-club-de-danse-sportive-de-caluire;1379-club-de-danse-sportive-de-caluire
Club de Danse Sportive de Paris Nation;affiliated;AFFILIATED_STRUCTURE;Inspiration Danse Studio, 38 rue des Ormeaux;75020;Paris;cdspnation@gmail.com;+33767385343;;48.851457;2.400764;2026;Cabaret | Classique | Country And Line | Country Danse en Ligne - DL Pop Line | Country Danse en ligne - DL | Danse Verticale | Danse aérienne | Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Parapole Artistique | Parapole sport | Pole Dance | Pole Sport | Rock | Rock'n'Roll | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards | Country Danse en Couple - DC | Country Danse en Couple - DC Pro AM | Country Danse en Formation - DF Cabaret Team | Country Danse en Formation - DF Crea Team | Country Danse en Formation - DF Loisirs Team | Country Danse en Formation - DF Quad | Country Danse en Formation - DF Show Team | Country Danse Partner - DP | Country Ecriture Choregraphique - EC | DC Pro AM;Cabaret | Classique | Country & line | Danses aériennes | Danses latines | Danses standards | Pole dance | Pole sport | Rock'n'roll;https://www.ffdanse.fr/structures/1470-club-de-danse-sportive-de-paris-nation;1470-club-de-danse-sportive-de-paris-nation
Club de Danse Sportive Moderne de Vienne;affiliated;AFFILIATED_STRUCTURE;2 RUE ANDRE COLOMBIER, MAISON DES SOCIETES;38200;VIENNE;cdsm.vienne@gmail.com;0661789897;;45.5278799;4.8745857;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/845-club-de-danse-sportive-moderne-de-vienne;845-club-de-danse-sportive-moderne-de-vienne
Club de Danse Sportive Traiton;recently_disaffiliated;UNAFFILIATED_STRUCTURE;Mairie du Trait Place du 11 novembre 76580 LE TRAIT;76580;LE TRAIT;p.pain@wanadoo.fr;0235379092;;49.4864442;0.8041607;;;;https://www.ffdanse.fr/structures/1517-club-de-danse-sportive-traiton;1517-club-de-danse-sportive-traiton
Club de Danse Volstroff;affiliated;AFFILIATED_STRUCTURE;Rue de la Fontaine, Foyer Culturel;57940;VOLSTROFF;clubdanseyogavolstroff@gmail.com;+33618067641;;49.3119735;6.2592215;2026;Barre au Sol | Classique | Comedie Musicale | Contemporain | Jazz | Street Dance;Barre au sol classique | Barre au sol contemporaine | Classique | Comédie musicale | Ateliers de création | Contemporain | Modern jazz | Jazz | Danses hip-hop;https://www.ffdanse.fr/structures/5433-club-de-danse-volstroff;5433-club-de-danse-volstroff
Club de Danses de loisirs et sportives de Melun;affiliated;AFFILIATED_STRUCTURE;6 ALLEE DES BOUVREUILS;77310;PONTHIERRY;club.danse.melun.77@gmail.com;07 77 46 09 99;hhttps://www.club-danse-melun.org;48.5352931;2.533515;2026;Bachata | Cabaret | Danses Solo | Dix Danses | Latines | Latino Caraibes | Lindy Hop | Salsa | Show Dance Latine | Show Dance Standard | Show Latino Caraïbe | Societe | Standards | Tango Argentin | West Coast Swing | Zumba;Bachata | Cabaret | Danses latines | Danses standards | Danses latino-caraïbes | Lindy hop | Salsa | Danses de salon | Tango argentin | West Coast Swing | Zumba;https://www.ffdanse.fr/structures/1563-club-de-danses-de-loisirs-et-sportives-de-melun;1563-club-de-danses-de-loisirs-et-sportives-de-melun
Club de danses de Pontault Combault;affiliated;AFFILIATED_STRUCTURE;15 rue jean moulin;77340;pontault combault;coudercmarc@gmail.com;33619187523;;48.7848194;2.5987941;2026;Africaine | Bachata | Breaking | Classique | Comedie Musicale | Contemporain | Country And Line | Danse en solo Latine | Danse en solo Standard | Dix Danses | Hip Hop | Jazz | Latines | Salsa | Show Dance Latine | Show Dance Standard | Societe | Solo Team Lat / Std | Standards | West Coast Swing;Danses ethniques | Bachata | Breaking | Classique | Comédie musicale | Ateliers de création | Contemporain | Country & line | Danses latines | Danses standards | Danses hip-hop | Modern jazz | Jazz | Salsa | Danses de salon | West Coast Swing;https://www.ffdanse.fr/structures/1580-club-de-danses-de-pontault-combault;1580-club-de-danses-de-pontault-combault
Club de Saint Vrain;recently_disaffiliated;UNAFFILIATED_STRUCTURE;B.P. 10013 - Mairie - Rue des Noblets;91170;SAINT VRAIN;valerie.chaillie@gmail.com;0665064521;;48.5416927;2.3346355;;;;https://www.ffdanse.fr/structures/1850-club-de-saint-vrain;1850-club-de-saint-vrain
Club des Amateurs de Danse de Marseille;affiliated;AFFILIATED_STRUCTURE;7 Rue du Docteur Girbal ChantePerdrix Batiment C2;13010;MARSEILLE;cadmdanse@gmail.com;0681244036;;43.2769289;5.4328966;2026;Danses Solo | Dix Danses | Latines | Societe | Standards;Danses latines | Danses standards | Danses de salon;https://www.ffdanse.fr/structures/288-club-des-amateurs-de-danse-de-marseille;288-club-des-amateurs-de-danse-de-marseille
Club du Sagittaire;affiliated;AFFILIATED_STRUCTURE;5 place Allardi Maison Ollivier;06390;CONTES;sagittaire.compta@outlook.fr;0605017127;;0;0;2026;Societe;Danses de salon;https://www.ffdanse.fr/structures/157-club-du-sagittaire;157-club-du-sagittaire
Club Gainnevillais de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;116 rue Maréchal Joffre;76600;Le Havre;asso.cgds@gmail.com;06.46;;49.4998787;0.1247702;2026;Bachata | Danse en solo Latine | Dix Danses | Latines | Salsa | Societe | Standards;Bachata | Danses latines | Danses standards | Salsa | Danses de salon;https://www.ffdanse.fr/structures/1523-club-gainnevillais-de-danse-sportive;1523-club-gainnevillais-de-danse-sportive
Club L ATELIER DE DANSE.;recently_disaffiliated;UNAFFILIATED_STRUCTURE;300 rue de la tonnellerie;30510;Generac;Latelierdedanse.generac@gmail.com;0671749403;;43.7325536;4.3526794;;;;https://www.ffdanse.fr/structures/5920-club-l-atelier-de-danse;5920-club-l-atelier-de-danse
Club Moderne de Danses - CMD;affiliated;AFFILIATED_STRUCTURE;2 rue Kléber;67300;SCHILTIGHEIM;hervemathis67@gmail.com;0662810564;https://www.club-moderne-danse.fr/;48.6081436;7.7338606;2026;Latines | Rock et DA | Societe | Solo Team Lat / Std | Standards;Danses latines | Rock sauté | Danses de salon | Danses standards;https://www.ffdanse.fr/structures/1339-club-moderne-de-danses-cmd;1339-club-moderne-de-danses-cmd
Club NovaDanse Gueugnon;affiliated;AFFILIATED_STRUCTURE;9 rue de la Liberté;71130;Gueugnon;clubnovadansegueugnon@gmail.com;0650963827;;46.6006854;4.0632135;2026;Bachata | Country And Line | Danse en solo Latine | Danse en solo Standard | Danse Show | Danses Solo | Dix Danses | Eveil à la Danse | Latines | Regards chorégraphiques | Rock | Salsa | Show Dance Latine | Show Dance Standard | Societe | Solo Team Lat / Std | Standards | Zumba;Bachata | Country & line | Disco | Danses latines | Danses standards | Ateliers de création | Contemporain | Rock'n'roll | Salsa | Danses de salon | Zumba;https://www.ffdanse.fr/structures/6391-club-novadanse-gueugnon;6391-club-novadanse-gueugnon
Club Omnisports;recently_disaffiliated;UNAFFILIATED_STRUCTURE;Route de Sogny;51520;Sarry;co-sarry@orange.fr;0326704213;https://www.facebook.com/profile.php?id=100064771354274;48.9206074;4.4007878;;;;https://www.ffdanse.fr/structures/5290-club-omnisports;5290-club-omnisports
Club Rennais de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;Maison des Associations 6 Cours des Alliés, 6 Cours des Alliés;35000;Rennes;crds.35@orange.fr;0642126890;www.crdsrennes.com;48.1049596;-1.675984;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/808-club-rennais-de-danse-sportive;808-club-rennais-de-danse-sportive
Club Rouennais de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;7 rue Paul Bert;76800;ST ETIENNE DU ROUVRAY;n.demonchy@free.fr;0660871665;;49.3991912;1.0731344;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Standards | Societe;Danses latines | Danses standards | Danses de salon;https://www.ffdanse.fr/structures/1520-club-rouennais-de-danse-sportive;1520-club-rouennais-de-danse-sportive
Club rythme et danse;affiliated;AFFILIATED_STRUCTURE;10 route de Saint Côme;12500;Espalion;clubdanseespalion@gmail.com;0743525152;;44.5240367;2.7668981;2026;Classique | Contemporain | Eveil à la Danse | Jazz | Street Dance;Classique | Ateliers de création | Contemporain | Modern jazz | Jazz | Danses hip-hop;https://www.ffdanse.fr/structures/236-club-rythme-et-danse;236-club-rythme-et-danse
Club Rémois de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;30 rue colbert;51100;REIMS;info@dansebourdon.com;0326478859;;49.2572678;4.0326245;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/1043-club-remois-de-danse-sportive;1043-club-remois-de-danse-sportive
Club Sabisa;affiliated;AFFILIATED_STRUCTURE;13, rue Aristide Briand;59147;GONDECOURT;sabisa59147@gmail.com;0679740047;sabisa.fr;50.5477263;2.9880673;2026;Autres Danses;;https://www.ffdanse.fr/structures/1130-club-sabisa;1130-club-sabisa
Club sportif Braytois section danses;affiliated;AFFILIATED_STRUCTURE;BP 19;77480;BRAY SUR SEINE;csbdanse@gmail.com;0786833983;;48.415097;3.239486;2026;Africaine | Breaking | Hip Hop | House | Krump | Locking | New Style | Poping | Regards chorégraphiques | Street Dance;Danses ethniques | Breaking | Danses hip-hop | Ateliers de création | Contemporain;https://www.ffdanse.fr/structures/1589-club-sportif-braytois-section-danses;1589-club-sportif-braytois-section-danses
Club sportif municipal Seynois;affiliated;AFFILIATED_STRUCTURE;STADE SCAGLIA chemin de LA SEYNE  A BASTIAN;83500;LA SEYNE SUR MER;albalagranaina@orange.fr;0673129289;;43.0968045;5.8799058;2026;Flamenco;Flamenco;https://www.ffdanse.fr/structures/1692-club-sportif-municipal-seynois;1692-club-sportif-municipal-seynois
Club studio 8;recently_disaffiliated;UNAFFILIATED_STRUCTURE;39 rue massey;65000;tarbes;contact@lestudio8.fr;0613558018;;43.237277;0.0738372;;;;https://www.ffdanse.fr/structures/1300-club-studio-8;1300-club-studio-8
Club Villeurbannais de Danse Sportive;affiliated;AFFILIATED_STRUCTURE;34 rue docteur Rollet;69100;Villeurbanne;michelleribas@wanadoo.fr;0478853223;;45.7668051;4.8843147;2026;Danse en solo Latine | Danse en solo Standard | Dix Danses | Jazz | Latines | Show Dance Latine | Show Dance Standard | Solo Team Lat / Std | Standards | Bachata | Salsa;Danses latines | Danses standards | Modern jazz | Jazz | Bachata | Salsa;https://www.ffdanse.fr/structures/1375-club-villeurbannais-de-danse-sportive;1375-club-villeurbannais-de-danse-sportive
Club Wild Eagles;recently_disaffiliated;UNAFFILIATED_STRUCTURE;8 rue F Ryback;62880;ESTEVELLES;commedit.num@wanadoo.fr;0658244686;;50.4735981;2.9089517;;;;https://www.ffdanse.fr/structures/1221-club-wild-eagles;1221-club-wild-eagles
Cléarts;recently_disaffiliated;UNAFFILIATED_STRUCTURE;12 rue Romain Rolland;33600;Pessac;asso.clearts@gmail.com;0671745619;;44.8035573;-0.6444466;;;;https://www.ffdanse.fr/structures/5763-clearts;5763-clearts
